title,url,source,date,content,scraped_at
Kemenag Masih Mendata Pesantren yang Terdampak Bencana Sumatra,https://www.cnnindonesia.com/nasional/20251223063715-20-1309740/kemenag-masih-mendata-pesantren-yang-terdampak-bencana-sumatra,CNN Indonesia,2025-12-23 10:45:00+07:00,  Kementerian Agama masih terus mendata Pondok Pesantren yang terdampak hingga hilang akibat bencana banjir dan longsor di Sumatra.,2025-12-24 13:29:28.605906
Komdigi dan Opsel Antisipasi Kenaikan Trefik Data 30% di Libur Nataru,https://www.cnnindonesia.com/teknologi/20251219132738-213-1308640/komdigi-dan-opsel-antisipasi-kenaikan-trefik-data-30-di-libur-nataru,CNN Indonesia,2025-12-19 15:00:38+07:00,"  Peningkatan trefik data saat libur Nataru diperkirakan naik 30 persen, khususnya di sejumlah titik strategis yang berpotensi terjadi kepadatan masyarakat.",2025-12-24 13:29:28.470640
"Waspada Bahaya Malware DroidLock, Pengguna Android Wajib Hati-hati",https://www.cnnindonesia.com/teknologi/20251216121833-185-1307329/waspada-bahaya-malware-droidlock-pengguna-android-wajib-hati-hati,CNN Indonesia,2025-12-16 19:30:10+07:00,"  DroidLock, malware baru untuk Android, mengunci perangkat dan menuntut tebusan. Target utama pengguna berbahasa Spanyol, dengan potensi penyebaran global.",2025-12-24 13:29:28.472553
Telkom Kembali Kawal PDNS Hingga PDN Beroperasi Penuh,https://www.cnnindonesia.com/teknologi/20251215125228-213-1306893/telkom-kembali-kawal-pdns-hingga-pdn-beroperasi-penuh,CNN Indonesia,2025-12-16 02:45:09+07:00,  PT Telkom Indonesia akan mengoperasikan Pusat Data Nasional Sementara dan melakukan spin-off bisnis fiber ke InfraNexia untuk mendukung transformasi digital.,2025-12-24 13:29:28.473944
Elon Musk dan Jeff Bezos Berlomba Bangun Pusat Data di Antariksa,https://www.cnnindonesia.com/teknologi/20251212132947-199-1305933/elon-musk-dan-jeff-bezos-berlomba-bangun-pusat-data-di-antariksa,CNN Indonesia,2025-12-13 03:30:00+07:00,"  Dua miliuner pemilik perusahaan antariksa, Jeff Bezos dan Elon Musk, diam-diam berambisi membangun pusat data kecerdasan buatan (AI) di luar angkasa.",2025-12-24 13:29:28.475358
